Country name,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank
Kenya,Sub-Saharan Africa,4.48659992218018,4713.84,0.690004587173462,58.4985084533691,0.695590376853943,0.288115173578262,0.852420687675476,2.15,3.51,0.83,60.14,65.21,40.8
Sri Lanka,South Asia,4.44159984588623,13240.13,0.825963318347931,67.14990234375,0.786556124687195,-0.0299883000552654,0.808490633964539,2.87,4.75,1.19,41.39,76.58,39.3
Uganda,Sub-Saharan Africa,4.43249988555908,2243.45,0.794043123722076,58.912727355957,0.701275289058685,0.11373607814312,0.857214748859406,12.48,20.61,4.94,56.12,58.49,42.8
Chad,Sub-Saharan Africa,4.39659976959229,1423.86,0.722041845321655,53.125,0.676734864711762,0.221161678433418,0.806712090969086,1.26,2.07,0.46,,39.17,43.3
Cambodia,Southeast Asia,4.39349985122681,4379.91,0.746529459953308,61.8996315002441,0.958420157432556,0.0733139291405678,0.857204616069794,7.84,12.9,3.21,51.13,70.58,
Benin,Sub-Saharan Africa,4.37370014190674,3305.31,0.437072098255157,56.095100402832,0.743356943130493,-0.0425225719809532,0.575628280639648,2.23,3.59,0.9,,53.5,47.8
Myanmar,Southeast Asia,4.37249994277954,4464.76,0.786718249320984,61.3881225585938,0.727137327194214,0.491397202014923,0.658448100090027,2.14,3.57,0.85,46.51,66.74,30.7
Bangladesh,South Asia,4.28210020065308,5912.83,0.544468998908997,64.5484237670898,0.845008015632629,0.0050503765232861,0.698185086250305,0.0,0.0,0.0,63.9,67.39,32.4
Gambia,Sub-Saharan Africa,4.27939987182617,2096.06,0.584275603294373,57.9000015258789,0.596468150615692,0.36420351266861,0.882664918899536,3.36,5.73,1.09,,56.18,35.9
Mali,Sub-Saharan Africa,4.19780015945435,2111.53,0.593481123447418,55.4029197692871,0.712831854820252,-0.0282113049179316,0.846023738384247,1.31,2.26,0.39,,54.47,33.0
Egypt,Middle East and North Africa,4.17049980163574,11693.94,0.726098895072937,63.5030364990234,0.732426106929779,-0.182905942201614,0.580246210098267,0.14,0.24,0.037,46.83,67.2,31.5
Togo,Sub-Saharan Africa,4.13740015029907,2150.09,0.59535551071167,57.4489822387695,0.657430291175842,0.0240082331001759,0.739809095859528,2.66,4.25,1.1,,55.09,43.1
Jordan,Middle East and North Africa,4.1198000907898,9231.54,0.729218423366547,67.5999984741211,0.770127713680267,-0.149884924292564,0.68720155954361,0.52,0.89,0.14,39.96,68.92,33.7
